,name,type,wikipedia,abbrev,geometry
0,Sahnewal,small,http://en.wikipedia.org/wiki/Sahnewal_Airport,LUH,POINT (75.95707224036518 30.850359856170176)
1,Solapur,mid,http://en.wikipedia.org/wiki/Solapur_Airport,SSE,POINT (75.93305977107549 17.625415183635024)
2,Birsa Munda,mid,http://en.wikipedia.org/wiki/Birsa_Munda_Airport,IXR,POINT (85.3235970368767 23.317724598996193)
3,Ahwaz,mid,http://en.wikipedia.org/wiki/Ahwaz_Airport,AWZ,POINT (48.74710654359313 31.343158556075725)
4,Gwalior,mid and military,http://en.wikipedia.org/wiki/Gwalior_Airport,GWL,POINT (78.21721865463483 26.28548769793701)
5,Hodeidah Int'l,mid,http://en.wikipedia.org/wiki/Hodeida_International_Airport,HOD,POINT (42.97109630194003 14.755253441372462)
6,Devi Ahilyabai Holkar Int'l,mid,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,IDR,POINT (75.8092915005895 22.72774918757095)
7,Gandhinagar,mid,http://en.wikipedia.org/wiki/Gandhinagar_Airport,ISK,POINT (73.81056749246886 19.966020567280626)
8,Chandigarh Int'l,major and military,http://en.wikipedia.org/wiki/Chandigarh_Airport,IXC,POINT (76.80172611052417 30.670724894966725)
9,Aurangabad,mid,http://en.wikipedia.org/wiki/Aurangabad_Airport,IXU,POINT (75.39584329220051 19.867296962108234)
10,Faisalabad Int'l,mid and military,http://en.wikipedia.org/wiki/Faisalabad_International_Airport,LYP,POINT (72.9878190922305 31.362743548086222)
11,Omsk Tsentralny,mid,http://en.wikipedia.org/wiki/Omsk_Tsentralny_Airport,OMS,POINT (73.3163595376585 54.95764829340594)
12,Novosibirsk Tolmachev,mid,http://en.wikipedia.org/wiki/Tolmachevo_Airport,OVB,POINT (82.66715245258652 55.00958471362636)
13,Zaporozhye Int'l,mid and military,http://en.wikipedia.org/wiki/Zaporizhia_International_Airport,OZH,POINT (35.30187285752786 47.873263557902284)
14,Simpang Tiga,mid,http://en.wikipedia.org/wiki/Sultan_Syarif_Qasim_II_International_Airport,PKU,POINT (101.44656929844086 0.4646008729985052)
15,Rota Int'l,mid,http://en.wikipedia.org/wiki/Rota_International_Airport,ROP,POINT (145.24398029858185 14.171771297121616)
16,Surgut,mid,http://en.wikipedia.org/wiki/Surgut_Airport,SGC,POINT (73.40849647643748 61.340167219448126)
