osm_id,code,fclass,name,x,y
"5884709","2204",park,Varrezat e Dëshmorëve,21.175,42.659
"5884709","2721",attraction,Varrezat e Dëshmorëve,21.175,42.659
"33354574","2010",prison,Burgu i Dubravës,20.552,42.787
"36008500","2082",school,Shkolla e Mesme Teknike Mehmet Isai,21.466,42.468
"36009648","2002",fire_station,Zjarrëfiksat,21.467,42.458
"36942879","2204",park,Parku Gavranit,21.456,42.469
"36972524","2256",stadium,"Stadioni Agush Isufi",21.584,42.578
"47000529","2252",pitch,,21.157,42.663
"48290911","2256",stadium,"Stadioni i Qytetit, Gjakovë",20.434,42.384
"49011811","2204",park,,21.170,42.674
"49322637","2252",pitch,,21.183,42.657
"54150360","2015",graveyard,,20.706,41.989
"81657893","2081",university,"Universiteti Publik i Gjakoves Fehmi Agani",20.437,42.384
"83810380","2301",restaurant,Verona,20.741,42.209
"86280546","2082",school,Shkolla fillore 11 Marsi,20.839,42.336
"86775583","2082",school,,21.509,42.458
"86881091","2082",school,,21.473,42.387
"87069127","2082",school,,21.501,42.477
"87071736","2082",school,Miladin Popovic,21.499,42.401
"87078448","2082",school,,21.309,42.458
"87078903","2082",school,"Shkolla Fillore Vatra e Diturise",21.430,42.454
"87361200","2082",school,"Shkolla Fillore e Mesme e Ulët Mihal Grameno",21.102,42.641
"87454859","2082",school,,21.191,42.670
"87456135","2082",school,Asim Vokshi,21.164,42.676
"87564466","2082",school,,21.500,42.384
"87599003","2082",school,,21.157,42.365
"87599401","2082",school,,21.149,42.365
"87605341","2082",school,"Shkolla Fillore 8 Marsi",20.301,42.659
"87606945","2082",school,,20.730,42.207
"87610730","2082",school,,21.048,42.430
"87646476","2082",school,"Shkolla mesme Gjimnazi Vellezerit Frasheri",20.285,42.541
"87663123","2504",mall,Shtepia e mallrave,20.292,42.660
"87663143","2252",pitch,Fusha e Tenisit,20.291,42.652
"87663144","2251",sports_centre,Palestra e Sporteve,20.292,42.652
"87663775","2082",school,Shkolla Speciale Per te Verber,20.303,42.661
"87663777","2082",school,"Shkolla Teknike Shaban Spahija",20.307,42.661
"87663779","2082",school,"Shkolla e Arteve Odhise Paskali",20.285,42.662
"87663782","2252",pitch,Fusha e Sportit - Kosharka,20.287,42.661
"87663930","2082",school,Xhemal Kada,20.303,42.668
"87761136","2082",school,,21.140,42.649
"87799894","2501",supermarket,ETC,20.315,42.655
"87826577","2082",school,"Shkolla Fillore Ramiz Sadiku",20.301,42.663
"88120990","2082",school,Mustaf Venhari,20.962,42.827
"88120996","2082",school,Migjeni,20.856,42.879
"88120998","2082",school,Naim Frashëri,20.961,42.821
"88189508","2110",hospital,Spitali Rajonal i Prizrenit,20.730,42.204
"88306283","2082",school,,20.737,42.123
"88310428","2081",university,UP “Fehmi Agani” - Rektorati,20.427,42.382
"88311623","2082",school,Shkolla Fillore Trepqa,20.393,42.724
"88542107","2099",public_building,,21.184,42.698
"88545382","2082",school,,21.157,42.364
"88548631","2082",school,,21.144,42.374
"88548633","2082",school,"Shkolla fillore dhe e mesme e ulët Jeronim de Rada",21.147,42.372
"88717952","2082",school,,20.757,42.229
"91871739","2256",stadium,Shahin Haxhiislami Stadium,20.294,42.653
"92000324","2005",post_office,PTK,21.463,42.469
"93473451","2110",hospital,Qendra e Mjekësisë Familjare,20.825,42.354
"93473459","2082",school,Jeta e Re,20.824,42.353
"97192182","2204",park,Pishat e Sllatinës,21.017,42.617
"98114336","2204",park,Parku Pishat Janjevë,21.254,42.585
"102289401","2256",stadium,"Stadiumi Ismet Shabani",21.150,42.363
"104180127","2204",park,,21.175,42.664
"104183521","2512",clothes,House of Sport,21.165,42.661
"105216457","2082",school,"English School Britanica-ELT",21.159,42.651
"105216476","2904",fountain,Fontana e Qytetit,21.163,42.651
