address,id,inspector,comment,number,x,y,visitors,Name
"Mardi, 74717 Kolga-Aabla küla, Kuusalu vald, Harju maakond",328,,,EEVHA2023APL0350,6605088.7,586304.15,,Aablahe rand
"Haapsalu linn, Haapsalu linn",124,Lea Kiis,ei ole supluskohana kasutatav,,6533928.61,472585.55,60,Aafrika rand
"Aidu küla, Põltsamaa vald, Jõgeva maakond",86,Kaili Luik,,EEVJO2023KAL0164,6513518.06,630068.432,,Aidu tehisjärve supluskoht
"Alajõe küla, Alutaguse vald, Ida-Viru maakond",235,,,,6545860.3,696644.3,,Alajõe  supluskoht
"Alavere küla, Anija vald, Harju maakond",211,,"Soole enterokokkide kontrollväärtuse ületus, ajutiselt soovitatav mitte supelda.",,6568002.82,575962.93,,Alavere tiigid
"Alliklepa küla, Lääne-Harju vald, Harju maakond, Alliklepa küla, Lääne-Harju vald, Harju maakond",193,,,,6570197.572,486453.229,,Alliklepa rand
"Andineeme küla, Kuusalu vald, Harju maakond",227,,,EEVHA2023APL0349,6596495.417,582454.149,,Andineeme rand
"Tartu linn, Tartu linn",58,Margit Matt,,,6474140.104,660292.593,2000,Anne kanal
"Äntu küla, Väike-Maarja vald, Lääne-Viru maakond",236,,,VXX2023TU0798,6550009,629720,,Äntu tehisjärve supluskoht
"Elva linn, Elva vald, Tartu maakond",179,Väino Ratasepp,,,6456378.397,641949.17,,Arbi järve supluskoht
"Dirhami küla / Derhamn, Lääne-Nigula vald, Lääne maakond",154,,,EEVLA2021LK0010,6563207.67,471463.68,,Dirhami sadam
"Eistvere järv, Eistvere küla, Järva vald, Järva maakond",214,,,,6507392.482,600678.069,,Eistvere järv
"Tartu linn, Tartu linn",56,Margit Matt,,,6475629.873,658518.098,500,Emajõe Linnaujula
"Tartu linn, Tartu linn",57,Margit Matt,,,6475864.234,658113.748,500,Emajõe Vabaujula
"Viimsi alevik, Viimsi vald, Harju maakond",115,Jelena Gromova,,,6597382.945,546141.241,800,Haabneeme rand
"Haabersti linnaosa, Tallinn",117,Jelena Gromova,,,6586432.004,535923.216,800,Harku järve rand
"Holstre küla, Viljandi vald, Viljandi maakond",204,,,EEVVI2023KAL0132,6460429.12,599267.61,,Holstre järv
"Ihasalu küla, Jõelähtme vald, Harju maakond",223,,,EEVHA2023APL0346,6595778.727,566544.967,,Ihasalu / Punakivi rand
"Kehra linn, Anija vald, Harju maakond",108,Jelena Gromova,,,6577757.972,576448.104,50,Jägala jõgi (Kehras)
"Järlepa küla, Rapla vald, Rapla maakond",229,,,,6556294.39,553391.321,,Järlepa järv
"Järve, 73301 Järva-Jaani alev, Järva vald, Järva maakond",98,Laura Kikkas,,,6546191.072,607681.451,100,Järva-Jaani tehisjärv
"Jõiste küla, Saaremaa vald, Saare maakond",166,,,,6496150.69,428641.07,,Jõiste supluskoht
"Kääriku küla, Otepää vald, Valga maakond",150,,,,6431380.878,641793.095,,Kääriku järve supluskoht
"Veski spordibaas, Pilkuse küla, Otepää vald, Valga maakond",97,,,,6438443,649203,80,Kaarna järve supluskoht
"Kaberneeme küla, Jõelähtme vald, Harju maakond",224,,,EEVHA2023APL0347,6597209.154,572856.83,,Kaberneeme rand
"Kabli looduskeskus, Kabli küla, Häädemeeste vald, Pärnu maakond",140,Reelika Tammai,,EEVPA2023RT0079,6430133.42,526393.785,800,Kabli rand
"Haabersti linnaosa, Tallinn",118,Jelena Gromova,,,6590193.014,532585.58,3000,Kakumäe rand
"Jäneda küla, Tapa vald, Lääne-Viru maakond",107,Anna Kalinina,,VXX2023TU0797,6568195.149,595879.389,200,Kalijärve supluskoht
"Kallaste puhkeala, Kallaste linn, Peipsiääre vald, Tartu maakond",240,Väino Ratasepp,,,6507471.49,683700.99,,Kallaste linna Puhkeala supluskoht
"Kärdla linn, Hiiumaa vald, Hiiu maakond",209,,,EEVHI2023KK0036,6541428.249,428669.882,,Kärdla Hausma tee supluskoht
"Kärdla linn, Hiiumaa vald, Hiiu maakond",141,Kaia Adelman,,EEVHI2023KK0035,6541566.696,427881.533,100,Kärdla Rannapaargu supluskoht
"Karepa küla, Haljala vald, Lääne-Viru maakond",106,Liina Roosimägi,,VXX2023TU0799,6603574.914,636535.483,160,Karepa laagri supluskoht
"Karinu küla, Järva vald, Järva maakond",99,Jelena Gromova,,,6546324,612158,20,Karinu järvistu
"Veehoidla, 79320 Karitsa küla, Rapla vald, Rapla maakond",230,,,EEVRA2023VMOS0033,6540823.83,558759.032,,Karitsa järv
"Karjamaa küla, Alutaguse vald, Ida-Viru maakond",202,,,,6546337.281,700349.598,,Karjamaa laagri supluskoht
"Karksi küla, Mulgi vald, Viljandi maakond",186,,,EEVVI2017PLR0208,6442127.8,591176.339,,Karksi järve supluskoht
"Paiküla, Saaremaa vald, Saare maakond",134,Urve Raag,,,6472230.314,396406.566,150,Karujärve supluskoht
"Kassari küla, Hiiumaa vald, Hiiu maakond",142,Kaia Adelman,,EEVHI2023KAI0019,6516112.852,432053.653,300,Kassari supluskoht
"Kauksi rand, Kauksi küla, Alutaguse vald, Ida-Viru maakond",127,Anna Kalinina,,,6543341.69,685604.63,1000,Kauksi rand
"Kelvingi küla, Viimsi vald, Harju maakond",234,,,,6602141,547419,,Kelvingi rand
"Kiidjärve küla, Põlva vald, Põlva maakond",160,,,,6447963.162,677295.176,30,Kiidjärve supluskoht
